"text","sentiment"
"by far the WORST effort at chain mexican food. I thought this was a sister restaurant of the The Lime ( now called the Green Lemon)  and gave it a shot.  Terrible food. My wife gave me a bit of her guacamole and it tasted like water mush. one their smoky salsas tasted metallic.   DO NOT GO!!!",-0.8079
"Service sucks!  We had a party of 12.  We couldn't get enough chips.  We got 1!  I ordered table side guacamole and had to ask for chips.  We couldn't get drinks.  Waitress couldn't keep focused on each person and was very scattered.  Won't be back for the spendy Mexican food.",-0.3753
"Horrible food, the pork was under seasoned. The queso was watery. I will not return.",-0.5423
"Awful got a taco salad had refried beans in it topped with tasteless ground beef sour cream guacomole and shredded cheese with shredded lettuce by the time I was a quarter through eating I needed a spoon if I wanted to finish because now it was a soup a gray nasty soup",-0.765
"Really, you can't put meat on the side for a taco salad? And your justification is a stumble over a bunch of words? I don't understand??? I definitely won't be back!",-0.5439
"Will not go back. I had high hopes. A friend recommended it and husband had had lunch here a few times but this was not a great experience. Our waitress was flakey, Drinks mixed up and delivered to the wrong Table. Got Guacamole and no chips. Son's chicken fingers had and odd taste (like fried in old oil and too much flour). Other son ordered Mixtos (steak, pork and chorizo) skillet tacos and  now had an upset stomach. I had the shrimp and crab bake and it tastes like fake crab... and too much cheese. Overall disappointed and underwhelmed. But my jalapeño margarita was good.",-0.948
"El peor servicio al cliente que he visto en mi vida! Hice una orden de 2 tacos, un tamal y unos chips con queso. Tras de que se tardaron habían personas que llegaron después de mi y ya estaban comiendo. Luego de esperar casi media hora por unos simples tacos voy al counter para que me devuelvan el dinero porque no quería mi orden ya que nunca llegó. En ningún momento se disculparon conmigo por la tardanza, ni me dieron la razón y tras de eso son tan poco profesionales que sabiendo lo molesta que estaba y que había posibilidad de que no volviera no hicieron ni un mísero intento por retenerme como su cliente, al contrario, como ya me habían dado un refresco en lo que esperaba la comida pues me dieron el reembolso completo de mi dinero pero luego me cobraron el refresco! Su idea de marketing está por el suelo! Nunca mas volveré a ese lugar. Muy desagradable experiencia como para querer volver. Han perdido no solo a mi como cliente sino a todo el que me pregunte por su negocio.


The worst customer service I have seen in my life! I made an order of 2 tacos, a tamale and some chips with cheese. After they were late there were people who arrived after me and were already eating. After waiting almost half an hour for a few simple tacos I go to the counter to get my money back because I did not want my order since it never arrived. At no time did they apologize to me for the delay, nor did they give me the reason and after that they are so unprofessional that knowing how upset I was and that there was a possibility that I would not return they did not make a miserable attempt to keep me as their client, On the contrary, as I had already been given a soda in what I expected the food, they gave me a full refund of my money but then they charged me the soda! Your marketing idea is on the ground! I will never go back to that place again. Very unpleasant experience to want to return. They have lost not only my client but also everyone who asks me about their business.",-0.9681
"This place is a dump. I got to this shady place to get lunch only to told they're closed.",-0.3818
"Awful service, stood at host station for 10min before a single server helped us. Once our hostess artived we were greeted with, 'what do u want?"" No line at all and about 2/3 of all the tables empty, was told it was a 25min wait.  Wait for what? Wouldn't u rather seat us and make money off of drinks? We waited 5min until some friends of our hostess came in and we're seated immediately. I politely asked if we could at least wait at one of 20 open tables.  Was told they have no tables available, which was ridiculous.  Watched about half a dozen servers standing around the main area talking and not doing anything for about 10minutes. Then we left.",-0.7219
"I don't know why you people are all here lying to people. I got the fish tacos, they are absolutely disgusting. Is the fish boiled? Who boils fish for tacos? Because that is literally what this tastes like. Irrelevant, it is still Bland and tasteless. Also, I asked for flour tortillas, and I still got corn so thank you for that. And then the tortilla completely disintegrates on contact: what the heck is happening here?? Biggest waste of money ever, and into the trash it goes. I guess the hunt for good taco spots in town continues.",-0.4959
"This has got to be one of the worst Mexican experiences that we've ever had. It was 4:30 pm and we had just flown back into town. Decided to try the place because we see it all the time when we eat at Carrabas. We walk in and see one employee sitting at the bar --reading a paperback. He looks up and says, ""Oh, just sit anywhere. "". We sat ourselves and menus were brought to us. About 10 minutes later, he got up and asked if we wanted to order. By this time, we really didn't, but were already invested in the bad experience, that we went ahead and ordered. The food took forever  and was horrible. The sauce tasted like someone opened a can of Hunts tomato sauce and poured it on the enchiladas. There were no refills of drinks, and I had to go get him (still reading his novel) when it was time for us to pay. I thought, ""What a slug"". Horrible service, horrible food, and horrible experience. The place was so mismanaged -- rest room was filthy, from training of employees to quality of food. It has the air of a place on its way out, rather than on its way to the top. I recommend that you avoid this place.",-0.9794
"We had the rudest waiter ever. No refills for anyone at our table.   It took over an hour to get our check after asking and  then another 45 minutes to get my card back. I have never considered walking out on a check before this.",-0.6908
"Yelpers have seriously dropped the ball on this one, I just wasted an hour and a half going to this place only to be served a shit ton of dissatisfaction. First, they flat out lied to me that they could not validate my restaurant.com certificate. My bad, I guess I should've listened to the one yelper that shared the same experience. Don't bother ordering $10 shrimp tacos, the shrimp are flavorless and the ""soft corn tacos"" were an abomination that I really don't know how to describe properly. I had heard such great things about their ceviche, so i decided to order the campechana. It is now sitting in my refrigerator until I figure out a way to salvage the shrimp from that disaster. The octopus is a total loss though. If you don't know how to prepare octopus without turning it into shoe leather,  do not serve it at your establishment. I honestly feel embarrassed for these people. I'm pretty certain it's generally a bad idea to throw some seafood in a cup with a bunch of ketchup and sugar, and have the balls to think that it's ok. If I could give negative stars, I would. I hope this place shuts down. The only positive is that my senior citizen relative enjoyed the asada burrito. If she had been disappointed I probably would have written a much longer review of this nightmare. It is a disgrace to food trucks across this great nation. Save your money and ffs don't support this madness.",-0.9393
"This place will last six months, tops. Slow service, terrible food, uncaring servers. It isn't that difficult to make decent Mexican food but this place fails on so many levels. I'm not really a picky eater but the food was over salted, lacking spice and flavor, served Luke warm/cold and basically a mound of lettuce. The meat quality is poor and the queso is gross... Seriously how do you mess up queso? I honestly rather eat Taco Bell. I live within walking distance to this place and am rooting for Channelside but sadly my hopes for the plaza are dismal. Channelside, be careful about who you are choosing to put in your plaza! I will not be returning.",-0.9244
"The worst and I didn't even get to eat. I was standing for 5 min at the door and they finally told the people in front of me it would be a 30 min wait. That was 2 people. I walked up and said I was alone and she immediately told me it was an hour and a half wait. If my money isn't good enough when I'm a party of one I question your business ethics because crap like that comes from the top. South Tampa is becoming a joke and all about the cash.",-0.4416
"I eat here more than I probably should. And they screw up my order at least 50% of the time. They don't seem to understand the request ""hold the onions"".",-0.1027
