"","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","closed"
"7","0qNpTGTcqPwOLi2hADx4Xw","Charlie's Market","2815 E Sligh Ave","Tampa","FL",33610,28.0103596,-82.4300416,3,9,1,"Food, Grocery, Convenience Stores",NA
"8","uI9XODGY_2_ieTE6xJ0myw","Roman Forum","10440 N Dale Mabry Hwy","Tampa","FL",33618,28.0462028173,-82.5050526736,4,23,0,"Restaurants, American (New), Italian","NA"
"9","JgpnXv_0XhV3SfbfB50nxw","Joe's Pizza","2038 N Dale Mabry Hwy","Tampa","FL",33607,27.9605142,-82.506127,4,35,0,"Restaurants, Pizza","NA"
"10","mjWvAkNqoA6Y5P03sDSzfA","Educational Outfitters","3904 W Hillsborough Ave, Ste D","Tampa","FL",33614,27.9954501644,-82.5081187,2,10,1,"Uniforms, Shopping",NA
"14","RK6-cJ9hj53RzOlCBmpT-g","Impasto","","Tampa","FL",33611,27.890814,-82.5023464,5,5,1,"Restaurants, Italian, Food Trucks, Food","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday"
"18","P8brGDYVWjeW9GrKixH0yQ","Laser Spine Institute","5332 Avion Park Dr","Tampa","FL",33607,27.9586132,-82.5325949,3,36,0,"Medical Centers, Doctors, Diagnostic Services, Health & Medical, Orthopedists, Spine Surgeons, Diagnostic Imaging","NA"
"20","zFvqulgAYOpSG2t1v8AZ-w","The Cake Drip","1625 W Snow Cir","Tampa","FL",33606,27.935753,-82.4764699,4,40,1,"Desserts, Do-It-Yourself Food, Food, Patisserie/Cake Shop","NA"
"24","wMAxTyExktVtfyqKAfApbA","Tuffy Tire & Auto Service Center","4353 Gunn Hwy","Tampa","FL",33618,28.0458684582,-82.515059,4,16,1,"Oil Change Stations, Automotive, Tires, Auto Repair","Monday"
"26","P10BsKUeoeCeVoK4BS2u0w","Trust Me BBQ","8624 US Hwy 301 S","Riverview","FL",33569,27.8652573,-82.3260903,4,29,0,"Restaurants, Barbeque",NA
"28","QjV4v7q_pt7tt3K1US7IHg","PDQ Temple Terrace","5112 E Fowler Ave","Tampa","FL",33617,28.0548882706,-82.3995484,3,5,1,"Fast Food, Sandwiches, Chicken Shop, Restaurants","NA"
"30","CtMEJxpVMlNzFpB4PtFjfA","Aussie Grill","25340 Sierra Center Blvd","Lutz","FL",33559,28.192191035,-82.396367,4,75,1,"Restaurants, American (New), Burgers, Fast Food, Steakhouses","Monday"
"32","LVYAXWQB3t7tdwWteyjfhw","Option 1 Barber Shop","5537 Sheldon Rd, Ste E","Tampa","FL",33615,27.9987001903,-82.5822531301,4,16,0,"Barbers, Beauty & Spas","NA"
"34","Ucl9Vo5lwrUmYbV8Dv8X5g","O'Briens Irish Pub","15435 N Dale Mabry Hwy","Tampa","FL",33618,28.09236,-82.500588,4,108,1,"Bars, Pubs, Nightlife, Arts & Entertainment, Irish, Restaurants, Music Venues","NA"
"35","bi3SICnYEuFC7Cihyqz8Nw","Thach Used Tires","4916 Causeway Blvd","Tampa","FL",33619,27.9232395,-82.402873,5,5,1,"Tires, Automotive","NA"
"36","xbRbvXSAVZBEwaUUn3mzbg","Lee Roy Selmon's","14457 N Dale Mabry Hwy","Tampa","FL",33618,28.0787347875,-82.5063104158,3.5,42,0,"Salad, Restaurants, Burgers, Soul Food","NA"
"37","qb5pyP6XOS8K2uuC4eQHmQ","Union on Fletcher","3600 East Fletcher Ave","Tampa","FL",33613,28.0699667,-82.4187315,2.5,8,1,"Home Services, Real Estate, Apartments","NA"
"38","my0bmPD5dgDFE1ia__LNlw","Nails & Beauty Lounge","953 E Brandon Blvd","Brandon","FL",33511,27.9371659,-82.2699586,3.5,84,1,"Beauty & Spas, Waxing, Nail Salons, Hair Removal","NA"
"39","VVvUBlc_WIEb8obKGq39dA","Four Green Fields","4100 George J Bean Pkwy, Airside E, Tampa International Airport","Tampa","FL",33607,27.9803985924,-82.5377866183,4.5,39,1,"Irish Pub, Bars, Restaurants, Irish, Nightlife","NA"
"40","py5aKmlTB2NarfsfcOpHOQ","Cafe Con Leche","4100 George J Bean Pkwy","Tampa","FL",33607,27.9767745,-82.5374233,2.5,55,1,"Restaurants, Breakfast & Brunch, Coffee Roasteries, Coffee & Tea, Food","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday"
"43","dJfkfBbJz7wi0RgW-ph_Eg","Sake House","5106 E Fowler Ave","Tampa","FL",33617,28.055212,-82.399374,3,140,0,"Restaurants, Sushi Bars, Japanese","NA"
"44","iolaqx0v6g-fymksGWIU9A","Camden Bay Apartments","11302 W Hillsborough Ave","Tampa","FL",33635,28.0112177255,-82.6113298722,3.5,53,1,"Real Estate, Apartments, Home Services","Monday"
