"","Level","Date","State.FIPS","State.Postal.Code","County.FIPS","County.Name","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips..1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips...500","Row.ID","Week","Month"
"48986","County","2019/01/01",12,"FL",12057,"Hillsborough County",298727,1173241,3643810,1032726,940530,419572,540665,478669,149408,44076,26650,5683,5831,"12-12057-20190101",0,1
"49680","County","2019/01/02",12,"FL",12057,"Hillsborough County",237645,1234323,4624787,1216663,1159005,550046,715518,706129,188779,48795,28319,6252,5281,"12-12057-20190102",0,1
"52813","County","2019/01/03",12,"FL",12057,"Hillsborough County",243063,1228905,4746919,1251372,1181637,566944,734610,740364,186458,46907,27357,6246,5024,"12-12057-20190103",0,1
"56641","County","2019/01/04",12,"FL",12057,"Hillsborough County",234907,1237061,4684218,1214772,1154214,576228,732124,732403,182900,50274,29729,6508,5066,"12-12057-20190104",0,1
"61492","County","2019/01/05",12,"FL",12057,"Hillsborough County",246895,1225073,4807905,1271064,1223794,608908,736749,689474,185714,51739,29515,6446,4502,"12-12057-20190105",0,1
"62894","County","2019/01/06",12,"FL",12057,"Hillsborough County",255351,1216617,4377881,1137824,1161993,553195,673282,597943,167960,47581,27757,5711,4635,"12-12057-20190106",1,1
"66320","County","2019/01/07",12,"FL",12057,"Hillsborough County",244856,1227112,4680288,1274728,1174046,566325,713481,703617,172071,42436,23825,5077,4682,"12-12057-20190107",1,1
"70744","County","2019/01/08",12,"FL",12057,"Hillsborough County",243800,1228168,4688179,1253960,1178831,559218,732709,718203,167045,43490,24167,5778,4778,"12-12057-20190108",1,1
"72091","County","2019/01/09",12,"FL",12057,"Hillsborough County",238243,1233725,4597263,1196803,1173940,559294,724664,696048,162533,46108,27095,6239,4539,"12-12057-20190109",1,1
"74786","County","2019/01/10",12,"FL",12057,"Hillsborough County",234430,1237538,4730029,1252007,1187174,572524,742545,720618,168190,47627,28704,5621,5019,"12-12057-20190110",1,1
"77975","County","2019/01/11",12,"FL",12057,"Hillsborough County",229483,1242485,4824514,1214670,1220107,598025,776878,748586,173590,52319,28805,6189,5345,"12-12057-20190111",1,1
"83404","County","2019/01/12",12,"FL",12057,"Hillsborough County",239066,1232902,4891540,1253088,1243638,605030,781783,730872,183918,52961,29390,6114,4746,"12-12057-20190112",1,1
"84899","County","2019/01/13",12,"FL",12057,"Hillsborough County",250032,1221936,4391050,1134139,1161423,532200,689010,613605,170689,49902,29642,5868,4572,"12-12057-20190113",2,1
"89309","County","2019/01/14",12,"FL",12057,"Hillsborough County",237170,1234798,4712095,1286339,1173932,556066,725169,705804,179706,46186,28509,5649,4735,"12-12057-20190114",2,1
"92510","County","2019/01/15",12,"FL",12057,"Hillsborough County",236198,1235770,4673615,1255112,1171590,558865,723750,702421,176730,46160,28408,5697,4882,"12-12057-20190115",2,1
"94652","County","2019/01/16",12,"FL",12057,"Hillsborough County",233830,1238138,4662337,1220370,1168663,558051,736801,717259,172783,45027,32802,5549,5032,"12-12057-20190116",2,1
"99386","County","2019/01/17",12,"FL",12057,"Hillsborough County",237124,1234844,4812545,1258473,1200257,580768,756874,744379,179289,45750,34757,6228,5770,"12-12057-20190117",2,1
"101367","County","2019/01/18",12,"FL",12057,"Hillsborough County",235523,1236445,4890053,1227591,1241286,614723,779365,749068,181796,50693,33215,6941,5375,"12-12057-20190118",2,1
"103982","County","2019/01/19",12,"FL",12057,"Hillsborough County",240463,1231505,4863429,1234630,1225074,608623,774429,726225,194982,53911,34037,6639,4879,"12-12057-20190119",2,1
"106035","County","2019/01/20",12,"FL",12057,"Hillsborough County",255220,1216748,4280987,1094286,1144460,528067,667682,583825,170390,48708,32636,6363,4570,"12-12057-20190120",3,1
"109150","County","2019/01/21",12,"FL",12057,"Hillsborough County",245800,1226168,4497984,1165450,1152592,554716,698649,652181,180226,50604,33027,5961,4578,"12-12057-20190121",3,1
"112694","County","2021/06/06",12,"FL",12057,"Hillsborough County",290737,1181231,4687186,1422049,1170196,578524,722613,556821,152879,48004,26485,4297,5318,"12-12057-20210606",23,6
"115885","County","2021/06/07",12,"FL",12057,"Hillsborough County",276667,1195301,5728036,1792010,1402644,699691,865347,721488,179776,37958,20585,3144,5393,"12-12057-20210607",23,6
"118988","County","2021/06/08",12,"FL",12057,"Hillsborough County",277714,1194254,5582058,1603977,1338409,698272,906999,767087,199835,42301,16827,3427,4924,"12-12057-20210608",23,6
"122198","County","2021/06/09",12,"FL",12057,"Hillsborough County",278216,1193752,5389899,1482971,1301862,681523,899608,756335,198722,43886,17109,3054,4829,"12-12057-20210609",23,6
"125164","County","2021/06/10",12,"FL",12057,"Hillsborough County",276113,1195855,5264551,1487587,1306105,641857,848334,730137,183700,40227,17778,3353,5473,"12-12057-20210610",23,6
"128496","County","2021/06/11",12,"FL",12057,"Hillsborough County",267540,1204428,5647121,1636975,1344661,709630,910260,768762,192212,47740,26641,4467,5773,"12-12057-20210611",23,6
"131577","County","2021/06/12",12,"FL",12057,"Hillsborough County",278158,1193810,5015883,1402606,1253214,623871,822147,650866,177788,51053,24788,4552,4998,"12-12057-20210612",23,6
"137414","County","2021/06/13",12,"FL",12057,"Hillsborough County",294894,1177074,4440898,1317465,1104678,552003,684576,551475,149291,47206,22877,4719,6608,"12-12057-20210613",24,6
"138324","County","2021/06/14",12,"FL",12057,"Hillsborough County",274419,1197549,5320170,1563951,1312820,651419,823282,716070,183486,37711,22417,3617,5397,"12-12057-20210614",24,6
"141414","County","2021/06/15",12,"FL",12057,"Hillsborough County",267174,1204794,5643451,1696213,1380013,688457,864537,757526,183565,36387,26935,3545,6273,"12-12057-20210615",24,6
"144613","County","2021/06/16",12,"FL",12057,"Hillsborough County",272980,1198988,5459829,1569033,1306704,672547,868131,778044,190353,42251,24356,3556,4854,"12-12057-20210616",24,6
"147641","County","2021/06/17",12,"FL",12057,"Hillsborough County",269993,1201975,5475517,1639676,1307346,664675,842880,761768,185084,39644,23769,3667,7008,"12-12057-20210617",24,6
"150886","County","2021/06/18",12,"FL",12057,"Hillsborough County",261527,1210441,5848736,1694809,1419073,734179,947868,768069,195254,47127,30608,5168,6581,"12-12057-20210618",24,6
"153969","County","2021/06/19",12,"FL",12057,"Hillsborough County",276290,1195678,5268153,1504662,1304159,672507,840323,671790,184495,52851,28341,4741,4284,"12-12057-20210619",24,6
"157484","County","2019/01/22",12,"FL",12057,"Hillsborough County",237548,1234420,4443900,1135850,1069367,541585,704786,711876,185025,51184,34393,5408,4426,"12-12057-20190122",3,1
"162821","County","2019/01/23",12,"FL",12057,"Hillsborough County",237369,1234599,4621143,1210425,1141938,562022,714668,712742,182575,52406,32991,6357,5019,"12-12057-20190123",3,1
"164745","County","2019/01/24",12,"FL",12057,"Hillsborough County",237184,1234784,4607271,1201603,1146143,562096,717614,701564,179839,53757,33667,6003,4985,"12-12057-20190124",3,1
"166909","County","2019/01/25",12,"FL",12057,"Hillsborough County",234505,1237463,4746531,1199594,1177872,588144,752923,735421,190862,54826,34887,6757,5245,"12-12057-20190125",3,1
"169911","County","2019/01/26",12,"FL",12057,"Hillsborough County",246473,1225495,4725951,1272907,1186397,577097,732866,677869,178432,55583,33841,6603,4356,"12-12057-20190126",3,1
